Study,Gene,Weight
Rhinovirus Duke,GRIN1,0.343513083212614
Rhinovirus Duke,CHI3L1,0.341741713288447
Rhinovirus Duke,DEPTOR,0.340071896967136
Rhinovirus Duke,MDM4,0.320283426549373
Rhinovirus Duke,VNN1,0.316748797316053
Rhinovirus Duke,C1QA,0.310753068743588
Rhinovirus Duke,POU5F1P4,0.297687019666197
Rhinovirus Duke,ARSD,0.291762400873621
Rhinovirus Duke,NQO2,0.289294875632694
Rhinovirus Duke,CFAP44,0.269529511795556
Rhinovirus Duke,PNMAL1,0.2622041566309
Rhinovirus Duke,CAMTA1,0.249751350003039
Rhinovirus Duke,LOC100996756,0.241049495768569
Rhinovirus Duke,PTGER3,0.234154836786397
Rhinovirus Duke,GPRC5C,0.228519672472516
Rhinovirus Duke,ANOS1,0.224944429299591
Rhinovirus Duke,PHC3,0.223260555645642
Rhinovirus Duke,MMP9,0.222416954784594
Rhinovirus Duke,ART1,0.217555479724888
Rhinovirus Duke,LRP8,0.214188434295297
Rhinovirus Duke,CEMP1,0.201457672406198
Rhinovirus Duke,CFH,0.195809704607817
Rhinovirus Duke,SCAND2P,0.177132535866193
Rhinovirus Duke,LAMP5,0.173308595620785
Rhinovirus Duke,HIST1H1B,0.172914282394958
Rhinovirus Duke,EMP1,0.172469595381041
Rhinovirus Duke,CASP4,0.168398201768063
Rhinovirus Duke,TRIM5,0.167359901125837
Rhinovirus Duke,PI3,0.161435595648153
Rhinovirus Duke,TREM1,0.160109404783997
Rhinovirus Duke,AP3B2,0.157057480291215
Rhinovirus Duke,ZNF24,0.155356937791872
Rhinovirus Duke,RPL3,0.15222447242565
Rhinovirus Duke,DENND5B,0.150014116471983
Rhinovirus Duke,C1orf115,0.148882169910664
Rhinovirus Duke,HDC,0.146604687302758
Rhinovirus Duke,LOC100505915,0.130998863825358
Rhinovirus Duke,LINC00328,0.123679630032463
Rhinovirus Duke,DLEU2,0.120604275990545
Rhinovirus Duke,NRCAM,0.118324499099983
Rhinovirus Duke,PIM1,0.111028527267011
Rhinovirus Duke,LOC389906,0.110593550149191
Rhinovirus Duke,HDDC2,0.108799763491661
Rhinovirus Duke,SLC7A5,0.10527483901231
Rhinovirus Duke,SBNO1,0.0923450733849981
Rhinovirus Duke,ZNF442,0.0913141236019643
Rhinovirus Duke,ROBO1,0.0841515695351406
Rhinovirus Duke,KCNQ3,0.0735897314476961
Rhinovirus Duke,IFNG,0.0712623523183651
Rhinovirus Duke,IL18RAP,0.0675501277795304
Rhinovirus Duke,PPA1,0.0657686983412162
Rhinovirus Duke,PTENP1,0.0620932478389123
Rhinovirus Duke,PVRL2,0.0569388710865542
Rhinovirus Duke,SNX16,0.0548060464819839
Rhinovirus Duke,CD151,0.0528593163764574
Rhinovirus Duke,PGLYRP1,0.0447107175005048
Rhinovirus Duke,PSMD5,0.0439581536836113
Rhinovirus Duke,GSTM3,0.0372190372503085
Rhinovirus Duke,ABCB1,0.0316245476740174
Rhinovirus Duke,HMBOX1,0.0294973443987754
Rhinovirus Duke,ASB7,0.0279471848803956
Rhinovirus Duke,SLC8A2,0.0238753914304738
Rhinovirus Duke,MYO5C,0.0209272653358283
Rhinovirus Duke,EIF5A,0.0200488381744036
Rhinovirus Duke,DEFA4,0.019859893486739
Rhinovirus Duke,TSPAN4,0.0157528834496848
Rhinovirus Duke,ARHGEF12,0.0151436943368168
Rhinovirus Duke,MS4A2,0.0139474464858903
Rhinovirus Duke,CES3,0.0119633320108394
Rhinovirus Duke,KRT1,0.0110113631861615
Rhinovirus Duke,ELANE,0.00909191476412592
Rhinovirus Duke,RABGAP1L,0.00860702195433605
Rhinovirus Duke,CHN2,0.0076683541530138
Rhinovirus Duke,DSCAM,0.00698332002355885
Rhinovirus Duke,UGDH,0.00577813424360491
Rhinovirus Duke,LAMA4,0.00493666182391812
Rhinovirus Duke,PFDN4,0.00365401369003778
Rhinovirus Duke,BAZ1B,0.00355337689910356
Rhinovirus Duke,CAMK2N1,0.00350697701307819
Rhinovirus Duke,HBEGF,0.00305897082192229
Rhinovirus Duke,HLA-DRB4,0.0024746966536865
Rhinovirus Duke,MMP8,0.0008552320084546
Rhinovirus Duke,ZNF345,6.46863718746101e-05
